Fruits,vegetables,Food
apple,beet greens,potato
apricot,broccoli,mushroom
banana,carrots,sweet potato
dates,collards,whole grain rice
grapes,green beans,whole grain pasta
magoe,green peas,tortilla
orange,kale,beans
peaches ,lima beans,oats
pineapples,spinach ,mackrel
squash,tomatoe,tuna
strawberries,beetroot,salmon
tangerines,lettuce,skinless turkey
pumpkin,cabbage,lean meat
raisinsprunes,arugula,skinless chicken
kiwi,,nuts and seeds
watermelon,,pumpkin seeds
pomegranates,,cashew nut
blueberries,,almond
raspberries,,sunflower seeds
,,pistachios
,,walnuts
